Plataforma,Año_de_Lanzamiento,Género,Editor,Ventas_NA,Ventas_EU,Ventas_JP,Otras_Ventas,Ventas_Globales,Puntuación_Crítica,Número_Críticas,Puntuación_Usuarios,Número_Usuarios,Desarrolladora,Clasificación_ESRB
PS4,2016,Adventure,Sony Computer Entertainment,0.18,0.15,0.0,0.07,0.39,72.0,49.0,8.0,68,SuperMassive Games,M (17 años)
WiiU,2013,Platform,Sega,0.23,0.12,0.01,0.03,0.39,63.0,64.0,7.3,461,Sonic Team,E10+ (10 años)
PS4,2013,Platform,Activision,0.2,0.12,0.0,0.06,0.39,79.0,7.0,5.2,45,Vicarious Visions,E10+ (10 años)
PS3,2010,Action,Sega,0.14,0.18,0.0,0.07,0.39,41.0,28.0,5.2,36,Sega Studios San Francisco,T (13 años)
X360,2009,Action,LucasArts,0.18,0.17,0.0,0.04,0.39,43.0,37.0,6.3,19,Krome Studios,T (13 años)
PS2,2000,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39,62.0,13.0,8.4,8,Light Weight,M (17 años)
PS2,2002,Action,Eidos Interactive,0.19,0.15,0.0,0.05,0.39,67.0,18.0,8.8,19,Crystal Dynamics,M (17 años)
PS3,2010,Misc,Electronic Arts,0.16,0.17,0.0,0.06,0.39,64.0,11.0,6.1,9,Electronic Arts,E (6 años)
PS3,2008,Action,Sega,0.17,0.16,0.0,0.06,0.39,82.0,37.0,8.1,89,Monolith Productions,M (17 años)
PS2,2003,Misc,Ubisoft,0.19,0.15,0.0,0.05,0.39,79.0,9.0,7.3,13,Ubisoft Romania,E (6 años)
X360,2012,Shooter,Take-Two Interactive,0.24,0.11,0.0,0.03,0.39,80.0,71.0,7.5,219,Digital Extremes,M (17 años)
PS2,2006,Platform,Vivendi Games,0.19,0.15,0.0,0.05,0.39,68.0,19.0,8.0,6,Eurocom Entertainment Software,E10+ (10 años)
GBA,2005,Simulation,Electronic Arts,0.28,0.1,0.0,0.01,0.39,58.0,11.0,7.5,6,Maxis,E10+ (10 años)
X360,2006,Action,Eidos Interactive,0.29,0.06,0.01,0.03,0.39,82.0,53.0,8.7,102,Io Interactive,M (17 años)
DS,2005,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,90.0,49.0,9.0,163,Intelligent Systems,E (6 años)
PS2,2002,Racing,Capcom,0.19,0.15,0.0,0.05,0.39,66.0,20.0,7.5,13,Capcom,E (6 años)
