Plataforma,Año_de_Lanzamiento,Género,Editor,Ventas_NA,Ventas_EU,Ventas_JP,Otras_Ventas,Ventas_Globales,Puntuación_Crítica,Número_Críticas,Puntuación_Usuarios,Número_Usuarios,Desarrolladora,Clasificación_ESRB
XB,2002,Sports,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.61,72.0,25.0,8.6,12,Microsoft Game Studios,E (6 años)
PS2,2006,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,58.0,26.0,8.8,13,Omega Force,T (13 años)
PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61,70.0,61.0,6.4,55,Artificial Mind and Movement,M (17 años)
3DS,2011,Simulation,505 Games,0.5,0.07,0.0,0.05,0.61,56.0,6.0,6.0,7,Cooking Mama Limited,E (6 años)
3DS,2012,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0.0,0.05,0.61,73.0,13.0,7.4,21,5TH Cell,E10+ (10 años)
DS,2008,Role-Playing,Nintendo,0.29,0.02,0.27,0.03,0.61,81.0,42.0,7.0,106,Intelligent Systems,E10+ (10 años)
PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75.0,23.0,7.6,259,PopCap,E10+ (10 años)
Wii,2009,Shooter,Nintendo,0.42,0.05,0.0,0.14,0.61,91.0,48.0,9.3,316,Retro Studios,T (13 años)
PS2,2002,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61,72.0,20.0,8.5,8,Vicious Cycle,T (13 años)
PS3,2011,Action,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,70.0,29.0,6.9,13,Eurocom Entertainment Software,E10+ (10 años)
PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61,71.0,47.0,6.3,28,High Impact Games,E10+ (10 años)
GBA,2004,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61,49.0,7.0,6.8,6,Skyworks Technologies,E (6 años)
PS2,2003,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,81.0,29.0,8.1,12,Namco,T (13 años)
PS3,2010,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304,PlatinumGames,M (17 años)
PSV,2013,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,82.0,8.9,391,Media Molecule,E (6 años)
XB,2005,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61,90.0,35.0,8.6,115,Valve Software,M (17 años)
X360,2009,Sports,Activision,0.46,0.1,0.0,0.05,0.61,46.0,43.0,3.0,67,Robomodo,E10+ (10 años)
PS3,2014,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130,2K Australia,M (17 años)
X360,2008,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,70.0,28.0,5.9,34,Kush Games,E (6 años)
PS3,2009,Role-Playing,Deep Silver,0.22,0.22,0.08,0.09,0.61,70.0,45.0,7.1,51,"Ascaron Entertainment GmbH, Ascaron Entertainment",M (17 años)
X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,79.0,43.0,5.9,33,Konami,E (6 años)
X360,2009,Sports,Spike,0.56,0.0,0.0,0.05,0.61,64.0,29.0,5.3,26,2K Sports,E (6 años)
GBA,2005,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61,85.0,30.0,7.3,70,TOSE,E10+ (10 años)
PS3,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77,Spike,T (13 años)
GBA,2005,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61,71.0,9.0,6.0,8,Magic Pockets,E (6 años)
GBA,2004,Action,Atari,0.44,0.16,0.0,0.01,0.61,62.0,19.0,8.9,39,Webfoot Technologies,E (6 años)
GBA,2001,Action,Activision,0.43,0.16,0.0,0.01,0.61,84.0,8.0,8.7,11,Vicarious Visions,E (6 años)
DS,2009,Racing,Electronic Arts,0.25,0.29,0.0,0.07,0.61,67.0,11.0,7.3,4,EA Games,E (6 años)
PS2,2003,Fighting,Atari,0.5,0.02,0.0,0.08,0.61,75.0,34.0,7.7,35,CyberConnect2,T (13 años)
Wii,2010,Misc,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,59.0,14.0,5.9,8,TOSE,E10+ (10 años)
GBA,2003,Sports,Activision,0.43,0.16,0.0,0.01,0.6,86.0,9.0,7.7,9,Vicarious Visions,E (6 años)
PS2,2005,Platform,Sega,0.5,0.02,0.0,0.08,0.6,45.0,28.0,6.0,137,Sonic Team,E10+ (10 años)
GC,2001,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,80.0,21.0,8.3,29,Nintendo,E (6 años)
PS3,2013,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295,Gearbox Software,M (17 años)
PS2,2003,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,51.0,24.0,7.8,29,Paradox Development,M (17 años)
PS3,2011,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,64.0,55.0,7.4,69,Ryu ga Gotoku Studios,M (17 años)
XB,2005,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6,88.0,48.0,8.8,27,EA Sports,T (13 años)
PS3,2013,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,25.0,5.9,140,Techland,M (17 años)
XOne,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,53.0,5.1,144,Microsoft Game Studios,E10+ (10 años)
PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,72.0,7.0,6.0,9,Visual Concepts,E (6 años)
PS3,2013,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,8.5,75,Omega Force,T (13 años)
WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,10.0,7.6,58,Avalanche Software,E10+ (10 años)
PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,61.0,9.0,6.7,14,Sanzaru Games,E10+ (10 años)
X360,2009,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6,77.0,77.0,7.6,94,Techland,M (17 años)
X360,2010,Fighting,Ubisoft,0.31,0.23,0.0,0.06,0.6,32.0,38.0,4.6,23,Ubisoft,T (13 años)
PS2,2001,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6,63.0,10.0,8.6,8,Ubisoft,E (6 años)
PS2,2006,Action,THQ,0.5,0.02,0.0,0.08,0.6,52.0,29.0,7.5,39,Appaloosa Interactive,M (17 años)
PS2,2001,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,87.0,24.0,8.6,94,Gearbox Software,M (17 años)
X360,2010,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.6,82.0,78.0,8.1,101,Black Rock Studio,E10+ (10 años)
DS,2007,Action,Sega,0.28,0.25,0.0,0.06,0.6,43.0,7.0,4.9,8,Artificial Mind and Movement,E10+ (10 años)
Wii,2009,Role-Playing,Rising Star Games,0.32,0.12,0.11,0.04,0.6,81.0,58.0,8.7,101,Vanillaware,T (13 años)
Wii,2008,Action,Capcom,0.43,0.09,0.04,0.05,0.6,90.0,44.0,8.9,236,Ready at Dawn,T (13 años)
PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,47.0,6.6,88,TT Games,E10+ (10 años)
PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88,Yuke's,T (13 años)
WiiU,2013,Misc,Ubisoft,0.31,0.23,0.0,0.05,0.6,72.0,13.0,7.6,45,Ubisoft,E10+ (10 años)
PS4,2014,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,28.0,3.6,306,EA Sports,E10+ (10 años)
PC,2011,Strategy,Sega,0.19,0.31,0.0,0.09,0.6,90.0,62.0,8.3,1180,Creative Assembly,T (13 años)
DS,2007,Simulation,Electronic Arts,0.33,0.02,0.21,0.03,0.6,69.0,27.0,6.3,18,Aki Corp.,E (6 años)
PS2,2004,Racing,THQ,0.29,0.23,0.0,0.08,0.59,62.0,8.0,8.1,8,Climax Group,E (6 años)
X360,2008,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.59,56.0,9.0,5.8,17,EA Bright Light,E (6 años)
PS3,2009,Sports,Activision,0.38,0.14,0.0,0.07,0.59,44.0,29.0,2.1,31,Robomodo,E10+ (10 años)
GC,2002,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59,80.0,16.0,7.9,16,Dreamworks Games,T (13 años)
PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,28.0,8.0,1093,EA Redwood Shores,M (17 años)
PS3,2010,Sports,Electronic Arts,0.4,0.12,0.0,0.07,0.59,88.0,38.0,7.1,54,Electronic Arts,E10+ (10 años)
PS3,2012,Action,Sega,0.0,0.0,0.59,0.0,0.59,83.0,34.0,8.5,180,Ryu ga Gotoku Studios,M (17 años)
PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18,EA Sports,E (6 años)
XB,2004,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59,90.0,31.0,8.5,19,EA Sports,E (6 años)
GC,2002,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.59,62.0,11.0,7.3,22,Traveller's Tales,E (6 años)
XOne,2015,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,18.0,5.7,75,Yuke's,T (13 años)
PC,2011,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.2,1102,Ubisoft Montreal,M (17 años)
XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,73.0,42.0,7.8,47,Team Ninja,M (17 años)
PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,77.0,8.0,6.8,82,Climax Group,M (17 años)
X360,2010,Racing,Activision,0.25,0.27,0.0,0.06,0.59,82.0,78.0,8.3,169,Bizarre Creations,E10+ (10 años)
DS,2004,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.59,60.0,38.0,7.5,13,Gameloft,E (6 años)
PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59,81.0,26.0,9.0,20,Atomic Planet Entertainment,E (6 años)
PS3,2014,Action,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,66.0,5.0,5.9,242,Kojima Productions,M (17 años)
GBA,2003,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59,81.0,25.0,9.6,116,TOSE,E (6 años)
X360,2008,Action,Ubisoft,0.24,0.28,0.0,0.06,0.59,80.0,34.0,7.8,46,Ubisoft Montreal,T (13 años)
DS,2009,Misc,Nintendo,0.17,0.18,0.2,0.04,0.59,82.0,53.0,8.7,39,Intelligent Systems,E (6 años)
Wii,2008,Action,Sega,0.3,0.22,0.0,0.06,0.59,44.0,14.0,7.0,8,Artificial Mind and Movement,T (13 años)
PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.21,0.0,0.09,0.59,48.0,39.0,7.5,77,Coldwood Interactive,T (13 años)
PS2,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.58,58.0,30.0,5.1,38,"Valuewave Co.,Ltd.",E (6 años)
PC,2011,Shooter,Square Enix,0.25,0.25,0.0,0.08,0.58,90.0,52.0,8.5,3069,Nixxes Software,M (17 años)
PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.58,67.0,34.0,7.7,47,TOSE,E10+ (10 años)
X360,2012,Fighting,Namco Bandai Games,0.39,0.13,0.02,0.04,0.58,77.0,56.0,6.2,124,Project Soul,T (13 años)
PS2,2005,Role-Playing,Square Enix,0.06,0.04,0.47,0.01,0.58,58.0,23.0,8.0,35,Square Enix,E10+ (10 años)
X360,2008,Action,Ubisoft,0.18,0.34,0.0,0.07,0.58,55.0,50.0,6.4,58,Ubisoft Montreal,T (13 años)
Wii,2008,Action,Take-Two Interactive,0.15,0.37,0.0,0.07,0.58,68.0,18.0,5.7,29,Pam Development,E (6 años)
X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0.0,0.05,0.58,33.0,6.0,3.7,9,Farsight Studios,E (6 años)
PS2,2004,Role-Playing,Electronic Arts,0.49,0.02,0.0,0.08,0.58,73.0,35.0,8.2,60,EA Games,T (13 años)
DS,2010,Shooter,Activision,0.5,0.04,0.0,0.04,0.58,74.0,13.0,6.0,54,n-Space,T (13 años)
PS3,2008,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,81.0,20.0,7.3,25,EA Tiburon,E (6 años)
PS3,2011,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,90.0,30.0,7.8,87,SCEA San Diego Studios,E (6 años)
X360,2012,Adventure,Microsoft Game Studios,0.38,0.15,0.0,0.05,0.58,68.0,31.0,5.1,15,Asobo Studio,E (6 años)
WiiU,2013,Platform,Activision,0.38,0.15,0.0,0.05,0.58,89.0,7.0,6.0,96,Vicarious Visions,E10+ (10 años)
PS2,2003,Action,Atari,0.28,0.22,0.0,0.07,0.58,38.0,21.0,6.3,23,Black Ops Entertainment,T (13 años)
Wii,2009,Misc,Activision,0.31,0.21,0.0,0.06,0.58,74.0,17.0,7.7,6,Beenox,T (13 años)
X360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,73.0,64.0,7.3,51,Ubisoft Romania,T (13 años)
PS3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70.0,51.0,7.9,181,Spicy Horse,M (17 años)
3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,0.03,0.58,83.0,48.0,8.3,251,Atlus,M (17 años)
X360,2006,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58,84.0,46.0,7.8,67,"Kush Games, Visual Concepts",E (6 años)
PS3,2011,Sports,Electronic Arts,0.36,0.15,0.0,0.07,0.58,86.0,33.0,7.5,52,Electronic Arts,E10+ (10 años)
PS2,2000,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58,77.0,23.0,6.8,13,Epic Games,M (17 años)
PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,42.0,5.0,7.6,47,Bandai,E (6 años)
XB,2005,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58,85.0,46.0,8.4,28,Ubisoft,M (17 años)
PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,71.0,53.0,8.3,55,CyberConnect2,T (13 años)
PS2,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58,78.0,33.0,6.6,25,KCET,T (13 años)
DS,2009,Role-Playing,Square Enix,0.22,0.1,0.23,0.03,0.58,71.0,49.0,7.1,38,Matrix Software,E10+ (10 años)
PS3,2013,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,91.0,23.0,8.7,310,Ubisoft Montpellier,E10+ (10 años)
PSV,2012,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,79.0,45.0,7.2,79,Electronic Arts,E (6 años)
PS,2000,Action,Activision,0.32,0.22,0.0,0.04,0.58,77.0,14.0,8.7,32,Acquire,M (17 años)
GC,2002,Sports,Activision,0.45,0.12,0.0,0.02,0.58,91.0,19.0,8.6,21,Neversoft Entertainment,T (13 años)
PS2,2006,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,52.0,22.0,6.9,17,Cavia Inc.,T (13 años)
PS2,2005,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58,78.0,27.0,8.5,29,EA Canada,E10+ (10 años)
PS,1999,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58,79.0,14.0,9.0,77,SquareSoft,M (17 años)
Wii,2008,Sports,Electronic Arts,0.5,0.03,0.0,0.04,0.58,70.0,37.0,8.4,25,Electronic Arts,E (6 años)
Wii,2011,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57,76.0,4.0,8.3,6,High Impact Games,E10+ (10 años)
XB,2005,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,85.0,56.0,5.7,73,Ubisoft Montreal,M (17 años)
GBA,2002,Sports,Activision,0.41,0.15,0.0,0.01,0.57,85.0,13.0,8.8,4,Vicarious Visions,E (6 años)
PSP,2005,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,63.0,32.0,7.8,16,Climax Group,E (6 años)
PS2,2005,Role-Playing,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,78.0,22.0,8.4,109,Namco,T (13 años)
X360,2013,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,75.0,18.0,6.3,203,Overkill Software,M (17 años)
X360,2007,Shooter,Midway Games,0.29,0.22,0.0,0.06,0.57,62.0,48.0,6.1,65,Midway Studios - Austin,T (13 años)
GBA,2004,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,60.0,25.0,7.0,12,Vicarious Visions,E (6 años)
PS3,2012,Strategy,Take-Two Interactive,0.24,0.23,0.0,0.1,0.57,89.0,20.0,8.2,296,Firaxis Games,M (17 años)
3DS,2011,Action,Activision,0.32,0.2,0.0,0.05,0.57,82.0,8.0,4.9,62,Vicarious Visions,E10+ (10 años)
PC,2009,Simulation,Electronic Arts,0.02,0.18,0.0,0.38,0.57,81.0,31.0,8.0,72,The Sims Studio,T (13 años)
GC,2005,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57,86.0,21.0,8.5,11,EA Sports,E (6 años)
XOne,2016,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,87.0,31.0,8.0,261,Respawn Entertainment,M (17 años)
PS3,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.57,87.0,50.0,8.4,112,Arc System Works,T (13 años)
X360,2008,Action,Sega,0.27,0.24,0.0,0.06,0.57,45.0,43.0,5.9,52,Secret Level,T (13 años)
PS2,2004,Fighting,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57,73.0,27.0,7.9,27,CyberConnect2,T (13 años)
PS3,2009,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.57,88.0,35.0,7.9,40,EA Canada,E10+ (10 años)
PS3,2010,Misc,MTV Games,0.43,0.08,0.0,0.05,0.57,91.0,34.0,8.0,95,Harmonix Music Systems,T (13 años)
XB,2001,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57,71.0,30.0,7.5,13,Stormfront Studios,T (13 años)
PS2,2005,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,57.0,22.0,9.1,26,Omega Force,T (13 años)
XOne,2014,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,25.0,5.7,63,Yuke's,T (13 años)
PS2,2006,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,77.0,28.0,8.1,33,EA Canada,E (6 años)
XB,2002,Racing,Activision,0.42,0.11,0.02,0.02,0.57,74.0,36.0,5.2,13,Bunkasha Publishing,T (13 años)
X360,2013,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,27.0,7.2,249,Trion Worlds,M (17 años)
PS3,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.05,0.57,80.0,39.0,7.8,126,Nippon Ichi Software,T (13 años)
XB,2003,Platform,THQ,0.45,0.1,0.0,0.02,0.57,70.0,8.0,8.9,17,Heavy Iron Studios,E (6 años)
PS3,2012,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,67.0,16.0,6.4,107,id Software,M (17 años)
X360,2007,Platform,Activision,0.49,0.04,0.0,0.04,0.57,63.0,61.0,7.0,53,Treyarch,T (13 años)
PSP,2011,Action,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,74.0,4.0,6.3,8,Konami,E (6 años)
Wii,2009,Shooter,Sega,0.28,0.23,0.0,0.06,0.57,69.0,79.0,8.2,258,High Voltage Software,T (13 años)
WiiU,2015,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,7.0,6.9,11,Ubisoft,E10+ (10 años)
X360,2011,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,66.0,31.0,5.3,13,Eurocom Entertainment Software,E10+ (10 años)
XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57,87.0,32.0,8.3,19,Digital Illusions,E (6 años)
PS2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57,58.0,35.0,7.7,70,Capcom,M (17 años)
PS3,2008,Action,Take-Two Interactive,0.08,0.36,0.0,0.12,0.57,75.0,36.0,7.5,20,Pam Development,E (6 años)
PS2,2003,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57,73.0,37.0,8.6,35,Ubisoft Paris,M (17 años)
PSP,2007,Action,Eidos Interactive,0.21,0.22,0.0,0.13,0.57,78.0,32.0,8.2,28,Crystal Dynamics,T (13 años)
3DS,2012,Role-Playing,Xseed Games,0.32,0.0,0.21,0.03,0.57,78.0,33.0,8.1,122,Neverland,E10+ (10 años)
PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8.0,96,Silicon Studio,E10+ (10 años)
Wii,2009,Action,THQ,0.22,0.28,0.0,0.06,0.56,62.0,6.0,8.0,4,Asobo Studio,E10+ (10 años)
PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,83.0,10.0,8.9,45,Capcom,T (13 años)
GC,2003,Action,Activision,0.44,0.11,0.0,0.02,0.56,77.0,29.0,7.3,29,Exakt,M (17 años)
PS2,2007,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56,83.0,49.0,8.6,59,Vanilla Ware,T (13 años)
PC,2014,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,86.0,29.0,6.2,1727,Respawn Entertainment,M (17 años)
PS2,2006,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,66.0,18.0,8.6,14,EA Tiburon,E10+ (10 años)
GBA,2003,Action,Electronic Arts,0.4,0.15,0.0,0.01,0.56,77.0,13.0,8.2,11,Griptonite Games,T (13 años)
PS2,2001,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56,78.0,18.0,7.6,8,Black Box,E (6 años)
Wii,2008,Platform,Vivendi Games,0.34,0.17,0.0,0.05,0.56,64.0,11.0,6.5,19,Etranges Libellules,E10+ (10 años)
GBA,2004,Puzzle,Nintendo,0.31,0.11,0.13,0.01,0.56,66.0,10.0,7.5,6,Nintendo,E (6 años)
XB,2003,Simulation,Electronic Arts,0.4,0.14,0.0,0.02,0.56,81.0,26.0,8.9,12,Maxis,T (13 años)
PS2,2007,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,63.0,9.0,8.6,7,EA Canada,E (6 años)
PS,2001,Platform,Sony Computer Entertainment,0.31,0.21,0.0,0.04,0.56,65.0,10.0,6.9,8,Artificial Mind and Movement,E (6 años)
X360,2011,Shooter,THQ,0.25,0.26,0.0,0.06,0.56,76.0,57.0,7.8,232,Relic,M (17 años)
X360,2008,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56,78.0,47.0,7.6,36,Pam Development,E (6 años)
PS2,2004,Sports,Activision,0.28,0.21,0.0,0.07,0.56,55.0,4.0,8.4,16,Sand Grain Studios,T (13 años)
X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.11,0.0,0.05,0.56,71.0,50.0,7.2,31,TT Fusion,E10+ (10 años)
XB,2005,Shooter,Electronic Arts,0.39,0.15,0.0,0.02,0.56,80.0,49.0,8.2,29,Digital Illusions,T (13 años)
PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,74.0,35.0,8.1,39,Ubisoft Romania,T (13 años)
PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,77.0,16.0,7.6,8,Acclaim Studios Austin,E (6 años)
GC,2005,Racing,Electronic Arts,0.43,0.11,0.0,0.02,0.56,80.0,18.0,9.1,22,EA Canada,T (13 años)
Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0.0,0.06,0.56,50.0,4.0,5.8,5,Avalanche Software,E10+ (10 años)
XB,2003,Fighting,THQ,0.43,0.11,0.0,0.02,0.56,68.0,26.0,7.3,25,Anchor,T (13 años)
PS2,2007,Action,Take-Two Interactive,0.27,0.21,0.0,0.07,0.56,67.0,22.0,7.8,53,Rockstar London,M (17 años)
PS2,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56,56.0,35.0,8.1,38,Racjin,T (13 años)
PSP,2006,Sports,Activision,0.41,0.07,0.0,0.07,0.56,68.0,11.0,7.6,14,Page 44 Studios,T (13 años)
PS2,2005,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56,64.0,41.0,7.3,70,Eurocom Entertainment Software,T (13 años)
X360,2007,Sports,Activision,0.49,0.02,0.0,0.04,0.56,72.0,59.0,5.4,44,Neversoft Entertainment,T (13 años)
PS2,2003,Misc,Vivendi Games,0.27,0.21,0.0,0.07,0.56,56.0,6.0,6.5,8,Magenta Software,E (6 años)
GBA,2002,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56,47.0,5.0,7.0,4,Digital Illusions,E (6 años)
X360,2009,Shooter,Activision,0.28,0.22,0.0,0.06,0.56,72.0,66.0,7.5,128,"id Software, Raven Software",M (17 años)
XB,2002,Platform,Microsoft Game Studios,0.39,0.15,0.0,0.02,0.56,71.0,36.0,8.0,41,Artoon,E (6 años)
PS2,2003,Sports,Sega,0.27,0.21,0.0,0.07,0.56,91.0,20.0,8.5,25,Visual Concepts,E (6 años)
XB,2005,Sports,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56,81.0,25.0,8.2,17,Kush Games,E (6 años)
Wii,2010,Puzzle,Nintendo,0.33,0.16,0.02,0.05,0.56,72.0,19.0,5.8,4,"Tetris Online, Inc",E (6 años)
PSV,2012,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,83.0,73.0,8.5,625,SCE Japan Studio,T (13 años)
XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,77.0,106.0,6.8,1659,Remedy Entertainment,M (17 años)
PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0.0,0.14,0.56,75.0,39.0,6.6,21,Awesome Studios,E (6 años)
X360,2007,Action,Ubisoft,0.48,0.03,0.0,0.05,0.56,58.0,31.0,6.3,32,Ubisoft Montreal,E10+ (10 años)
PS2,2001,Shooter,Codemasters,0.27,0.21,0.0,0.07,0.56,59.0,14.0,6.8,17,Pipe Dream Interactive,M (17 años)
PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56,77.0,41.0,7.5,80,Bullets,E10+ (10 años)
X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,75.0,55.0,7.8,77,Kaos Studios,T (13 años)
PS2,2001,Racing,THQ,0.27,0.21,0.0,0.07,0.56,76.0,17.0,8.3,9,Pacific Coast Power & Light,E (6 años)
XB,2006,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.56,88.0,20.0,6.9,10,EA Sports,E (6 años)
PS,1998,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,78.0,15.0,9.1,35,Game Arts,T (13 años)
DS,2010,Simulation,Natsume,0.25,0.05,0.22,0.03,0.55,68.0,6.0,7.5,13,Marvelous Entertainment,E (6 años)
Wii,2007,Action,Rising Star Games,0.29,0.17,0.04,0.05,0.55,83.0,64.0,8.4,259,Grasshopper Manufacture,M (17 años)
